,area_atuacao
0,ÁREA DE ATUAÇÃO 
1,
2,
3,
4,
5,CLIMA BOM/FRONTEIRA
6,"CLIMA BOM, ROSANE COLLOR"
7,GROTA DO CIGANO/ PORTO DE PEDRAS
8,GROTA DO CIGANO
9,MORRO DO ARI
10,
11,PIABAS- JACINTINHO
12,PIABAS- JACINTINHO
13,FEITOSA
14,VILLAGE CAMPESTRE 2
15,"TODO ESTADO DE ALAGOAS, SENDO ORIUNDO DA VILA BREJAL, EM MACEIÓ."
16,LUCILA TOLEDO
17,LUCILA TOLEDO
18,
19,MACEIÓ I
20,"VIRGEM DOS POBRES I, II E II, LEVADA E ADJACÊNCIAS"
21,"VIRGEM DOS POBRES I, II E III"
22,CLIMA BOM
23," CLIMA BOM/FRONTEIRA, CONJUNTO JARBAS OITICICA, CONJUNTO ANTÔNIO LINS (RIO LARGO) E LOTEAMENTO PALMAR NO RIO NOVO"
24,CLIMA BOM/FRONTEIRA
25,LOTEAMENTO CASCA DURA
26,"ENVOLVIMENTO COM TRÁFICO DE DROGAS NA REGIÃO DE NOVO LINO, CAMPESTRE, COLÔNIA LEOPOLDINA E FLEXEIRAS/AL. CHEFE DO TRÁFICO DA CIDADE DE NOVO LINO/AL"
27,"ATUALMENTE ENCONTRA-SE NA CIDADE DE NOVO LINO/AL, CONTROLANDO O TRÁFICO NESTE MUNICÍPIO."
28,MARECHAL DEODORO
29,BARRA DE SÃO MIGUEL
30,MARECHAL DEODORO
31,LEVADA
32,ESCADINHA (VIRGEM DOS POBRES I)
33,ESCADINHA (VIRGEM DOS POBRES I) 
34,
35,"LEVADA, VIRGEM DOS POBRES I, II E III"
36,BAIRRO TAPERAGUÁ - MARECHAL DEODORO
37,MARECHAL DEODORO
38,RUA SANTO ANTÔNIO
39,RUA SANTO ANTONIO
40,RUA SANTO ANTONIO
41,RUA SANTO ANTONIO
42,PIABAS- JACINTINHO
43,PIABAS- JACINTINHO
44,JARDINEIRA E ADJASCENCIAS
45,PCC
46,CLIMA BOM
47,CLIMA BOM
48,VILLAGE CAMPESTRE 
49,POR TODO CLIMA BOM 
50,VILLAGE CAMPESTRE
51,CONJUNTO VILLAGE CAMPESTRE II
52,JARDINEIRA- JACINTINHO
53,JARDINEIRA- JACINTINHO
54,JARDINEIRA- JACINTINHO
55,JARDINEIRA- JACINTINHO
56,REGINALDO/FEITOSA
57,FEITOSA
58,"FEITOSA, CRUZEIRO DO SUL, ROSANE COLLOR, CLIMA BOM, BOM PARTO"
59,FEITOSA
60,VALE DO REGINALDO E FEITOSA
61,FEITOSA
62,FEITOSA
63,FEITOSA
64,FEITOSA
65,VALE DO REGINALDO
66,CONJUNTO TAVARES GRANJA 
67,CLIMA BOM
68,SANTA LUZIA DO NORTE 
69,BRASIL NOVO
70,"ALTO DO SÃO MIGUEL, RIO LARGO"
71,MUTIRÃO 
72,"FAVELA SANTA MARIA, RIO LARGO"
73,RUA 16
74,COQUEIRO SECO 
75,COQUEIRO SECO 
76,BRASIL NOVO
77,GROTA DA BIQUINHA 
