,alvo_sspal,qual_operacao_foi_alvo
0,Alvo da SSPAL,QUAL OPERAÇÃO FOI ALVO
1,SIM,
2,SIM,
3,SIM,
4,SIM,
5,NÃO,
6,NÃO,NÃO
7,SIM,ZÍNGARO 
8,SIM,
9,SIM,
10,NÃO,
11,SIM,IRMÃOS METRALHA
12,SIM,IRMÃOS METRALHA
13,NÃO,
14,SIM,OPERAÇÃO DESMONTE
15,SIM,
16,NÃO,
17,NÃO,
18,NÃO,
19,SIM,
20,NÃO,
21,NÃO,
22,NÃO,
23,NÃO,
24,NÃO,NÃO
25,SIM,
26,NÃO,
27,NÃO,
28,NÃO,
29,NÃO,
30,NÃO,
31,NÃO,
32,NÃO,
33,NÃO,
34,NÃO,
35,NÃO,
36,NÃO,
37,NÃO,
38,NÃO,
39,NÃO,
40,NÃO,
41,SIM,
42,NÃO,
43,SIM,HOMICIDIO GILHO SGT ROSA
44,SIM,ORCIRM JARDINEIRA
45,NÃO,
46,NÃO,
47,NÃO,
48,SIM,
49,NÃO,
50,NÃO,
51,NÃO,
52,SIM,JARDINEIRA
53,SIM,JARDINEIRA
54,SIM,JARDINEIRA
55,SIM,
56,SIM,
57,SIM,
58,NÃO,
59,NÃO,
60,SIM,REGINALDO
61,NÃO,
62,NÃO,
63,NÃO,
64,NÃO,
65,SIM,
66,NÃO,
67,NÃO,
68,NÃO,
69,NÃO,
70,NÃO,
71,NÃO,
72,NÃO,
73,NÃO,
74,NÃO,
75,NÃO,
76,NÃO,
77,NÃO,
78,NÃO,
79,NÃO,
80,NÃO,
81,NÃO,
82,NÃO,
83,SIM,OPERAÇÃO PARAÍSO
84,NÃO,
85,SIM,OPERAÇÃO PARAÍSO
86,NÃO,
87,NÃO,
88,NÃO,
89,NÃO,
90,SIM,OPERAÇÃO MAÇUNIN
91,NÃO,
92,NÃO,
93,NÃO,
94,SIM,
95,NÃO,
96,NÃO,
97,NÃO,
98,SIM,
99,NÃO,
100,NÃO,
101,NÃO,
102,NÃO,
103,NÃO,
104,NÃO,
105,NÃO,
106,NÃO,
107,NÃO,
108,NÃO,
109,NÃO,
110,NÃO,
111,NÃO,
112,NÃO,
113,NÃO,
114,NÃO,
115,NÃO,
116,NÃO,
117,NÃO,
118,NÃO,
119,NÃO,NÃO
120,SIM,
121,NÃO,
122,SIM,
123,SIM,
124,SIM,CELEBRIDADE
125,NÃO,
126,NÃO,
127,NÃO,
128,NÃO,
129,NÃO,
130,NÃO,
131,NÃO,
132,NÃO,
133,NÃO,
134,NÃO,
135,NÃO,
136,NÃO,RELINT ENVIADO A DINT PARA PROCEDER COM POSSÍVEL OPERAÇÃO
137,SIM,
138,NÃO,RELINT ENVIADO A DINT PARA POSSÍVEL OPERAÇÃO
139,NÃO,ENVIADO RELINT A DINT PARA POSSÍVEL OPERAÇÃO
140,NÃO,
141,NÃO,
142,NÃO,
143,NÃO,
144,NÃO,
145,NÃO,
146,NÃO,
147,SIM,OPERAÇÃO PARÁISO
148,NÃO,
149,NÃO,
150,NÃO,
151,NÃO,
152,NÃO,
153,NÃO,
154,NÃO,
155,NÃO,
156,NÃO,
157,NÃO,
158,NÃO,SEM INFORMAÇÕES
159,NÃO,
160,NÃO,
161,SIM,
162,SIM,
163,SIM,
164,NÃO,
165,NÃO,
166,SIM,
167,NÃO,
168,NÃO,
169,NÃO,
170,SIM,"TODAS AS OPERAÇÕES DE ESCUTAS RECENTES FOI ENVIADO E ATUALIZADO O NÚMERO DELE, PORÉM RARAMENTE CAI ALGO EM VIRTUDE DA DEFASAGEM E DESATUALIZAÇÃO DO SISTEMA JÚRIDICO. É MONITORIDADO NAS REDES SOCIAS, ONDE POSTA ORDENS, AMEAÇAS DE MORTE, GRANDE QUANTIDADE DE ENTORPECENTES, ARMAS E MUNIÇÕES."
171,NÃO,
172,NÃO,
173,NÃO,
174,NÃO,
175,NÃO,
176,NÃO,
177,NÃO,
178,NÃO,
179,NÃO,
180,NÃO,
181,NÃO,
182,NÃO,
183,NÃO,
184,NÃO,
185,NÃO,NÃO SE TÊM NOTÍCIAS.
186,NÃO,
187,NÃO,
188,NÃO,
189,NÃO,
190,NÃO,
191,SIM,NÃO FOI POSSÍVEL CONSTATAR.
192,NÃO,
193,NÃO,
194,NÃO,
195,NÃO,
196,NÃO,
197,NÃO,
198,NÃO,
199,NÃO,
200,NÃO,
201,SIM,OP PEDRA DA ARARA
202,NÃO,
203,NÃO,
204,SIM,EM 22 DE MARÇO DE 2024 ALVO DE MANDADO DE BUSCA E APREENSÃO 
205,NÃO,
206,NÃO,
207,NÃO,
208,SIM,OP TERREMOTO (11º BPM)
209,SIM,OP REINCIDÊNCIA
210,NÃO,
211,NÃO,
212,NÃO,
213,NÃO,
214,NÃO,
215,NÃO,
216,NÃO,
217,NÃO,
218,NÃO,
219,SIM,RELINTS DE BUSCA DA 1ª CPMI
220,SIM,OP TERREMOTO (11º BPM)
221,SIM,"OP CREBRO (11º BPM)
OP TERREMOTO (11º BPM)
OP FORTUITO (11º BPM)"
