,registro_como_reeducando,período_como_reeducando
1,SIM,
2,SIM,
3,SIM,
4,SIM,
5,SIM,06/04/2018
6,SIM,04/10/2021
7,SIM,Vigente  preso em 2023
8,SIM,
9,,
10,,
11,SIM,2023-24
12,SIM,2023-24 atual
13,,
14,SIM,
15,SIM,
16,SIM,
17,,
18,,
19,,
20,SIM,2011 a 20216
21,,
22,SIM,
23,SIM,
24,SIM,
25,,
26,,
27,,
28,NÃO,
29,NÃO,
30,NÃO,
31,,
32,,
33,,
34,,
35,,
36,NÃO,
37,NÃO,
38,,
39,,
40,,
41,,
42,SIM,"2016, REINCIDENTE EM 2019"
43,SIM,ATE 2016
44,,
45,,
46,,
47,SIM,
48,SIM,
49,SIM,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,SIM,ENTRADA EM 2013
60,SIM,2023
61,,
62,SIM,2009
63,SIM,2016
64,SIM,PRESO EM 2023- SOLTO EM 2024
65,SIM,2023-2024
66,,
67,,
68,,
69,SIM,
70,NÃO,
71,NÃO,
72,SIM,
73,SIM,
74,SIM,
75,,
76,SIM,
77,SIM,
78,SIM,
79,SIM,
80,SIM,
81,SIM,
82,SIM,2018-2022
83,NÃO,
84,SIM,2017-2022
85,NÃO,
86,NÃO,
87,NÃO,
88,SIM,
89,SIM,NÃO
90,SIM,2010 A 2011
91,NÃO,
92,NÃO,
93,NÃO,
94,SIM,22/07/2013 
95,SIM,
96,SIM,11/06/2020
97,SIM,05/04/2018 E 13/10/2018
98,SIM,
99,SIM,17/05/2017 E 16/12/2022
100,SIM,21/12/2009 E 10/10/2023
101,SIM,20/01/2021 E 02/03/2024
102,SIM,10/07/2014 E 13/11/2018
103,,
104,,
105,,
106,,
107,,
108,NÃO,
109,NÃO,
110,NÃO,
111,SIM,
112,NÃO,
113,NÃO,
114,NÃO,
115,,
116,,
117,NÃO,
118,NÃO,
119,NÃO,
120,SIM,
121,NÃO,
122,SIM,
123,SIM,
124,SIM,31/07/2014 a 16/07/2019
125,,
126,,
127,,
128,NÃO,
129,,
130,NÃO,
131,,
132,,
133,SIM,DATA DE ENTRADA 05/07/2023
134,,
135,SIM,
136,SIM,29/12/2016 A 31/01/2022
137,NÃO,
138,NÃO,
139,NÃO,
140,,
141,SIM,
142,,
143,,
144,,
145,,
146,,
147,NÃO,
148,NÃO,
149,NÃO,
150,NÃO,
151,NÃO,
152,NÃO,
153,NÃO,
154,NÃO,
155,SIM,SEM INFORMAÇÕES
156,NÃO,
157,SIM,SEM INFORMAÇÕES
158,SIM,SEM INFORMAÇÕES
159,SIM,SEM INFORMAÇÕES
160,NÃO,
161,,
162,,
163,,
164,NÃO,
165,NÃO,
166,SIM,
167,NÃO,
168,,
169,SIM,
170,NÃO,
171,NÃO,
172,NÃO,Não.
173,NÃO,
174,NÃO,
175,,
176,SIM,06/08/2014 E 30/11/2017
177,SIM,
178,SIM,27/07/2017 E 
179,SIM,
180,,
181,,
182,,
183,,
184,,
185,NÃO,
186,SIM,06/08/2014 E 30/11/2017
187,,
188,NÃO,
189,SIM,23/09/2021
190,SIM,16/03/2021 E 08/08/2023
191,SIM,Sem acesso ao sistema para consultar.
192,NÃO,
193,NÃO,
194,NÃO,
195,NÃO,
196,NÃO,
197,NÃO,
198,NÃO,
199,NÃO,
200,NÃO,
201,SIM,
202,NÃO,
203,NÃO,
204,SIM,24/01/2008 A  27/12/2021 REGIME SEMI ABERTO COM USO DE TORNOZELEIRA ELETRÔNICA.
205,,
206,NÃO,
207,NÃO,
208,SIM,
209,SIM,
210,SIM,
211,SIM,
212,SIM,
213,,
214,SIM,2024- ATUAL
215,SIM,2021
216,NÃO,
217,NÃO,
218,SIM,
219,,
220,NÃO,
221,SIM,
