,latitude_atual,longitude_atual
1,-22.8613084,-43.2721368
2,-22.8652079,-43.2747114
3,-22.8613084,-43.2721368
4,,
5,-9.4738969,-35.8087907
6,,
7,-9.6402576,-35.7129887
8,-15.7050424,-49.36531489999999
9,-9.6375558,-35.7182739
10,,
11,-9.6394166,-35.7183112
12,-9.6394191,-35.7183114
13,-9.6390886,-35.7267264
14,-9.5882642,-35.7746921
15,,
16,-9.5733009,-35.7541397
17,-9.5445039,-35.7775857
18,-9.6086577,-35.7138692
19,-9.5733345,-35.7541203
20,-22.8613084,-43.2721368
21,-22.8613084,-43.2721368
22,-9.5700625,-35.7936147
23,-22.9068467,-43.1728965
24,,
25,-9.5443033,-35.765726
26,-8.1688125,-34.920874
27,-8.1688125,-34.920874
28,-9.7437901,-35.897619
29,-9.8417491,-35.9043863
30,-9.7437901,-35.897619
31,,
32,,
33,,
34,,
35,,
36,-9.7437901,-35.897619
37,-9.7520467,-35.875298
38,-9.641057199999999,-35.7167299
39,-9.642301,-35.7218115
40,-9.637473,-35.7179485
41,-9.6410789,-35.7150383
42,-9.5263499,-35.797712
43,-9.6375558,-35.7182739
44,-9.649402199999999,-35.7203076
45,-9.6531114,-35.7252722
46,-8.8137173,-36.954107
47,,
48,-9.5432425,-35.7543363
49,,
50,-9.5372982,-35.7558098
51,-9.547811399999999,-35.7559105
52,-9.6484585,-35.7202019
53,-9.6467527,-35.7197547
54,-9.653473,-35.7272143
55,-9.651787599999999,-35.7244388
56,-9.6442791,-35.7280271
57,-9.6466625,-35.7291162
58,-9.53546,-35.805496
59,-9.6417238,-35.7159254
60,-9.6578286,-35.7285823
61,-9.6573843,-35.7279001
62,-9.6442791,-35.7280271
63,,
64,-9.6598366,-35.7281042
65,,
66,,
67,,
68,-9.5993589,-35.823974
69,-9.5351386,-35.8082236
70,-9.4838072,-35.8561436
71,,
72,,
73,,
74,,
75,,
76,-22.9068467,-43.1728965
77,,
78,,
79,,
80,,
81,,
82,-9.392957899999999,-36.1540152
83,-9.7398514,-35.8951213
84,-9.373999699999999,-36.2421527
85,-22.8974834,-43.2827249
86,-9.8435879,-35.903851
87,-9.659818999999999,-35.7359928
88,,
89,,
90,-9.883628,-36.827588
91,-9.8237015,-35.8859022
92,,
93,-9.7414402,-35.8972418
94,,
95,,
96,,
97,-9.4759932,-35.8236322
98,-22.8613084,-43.2721368
99,-9.883628,-36.827588
100,-9.5480368,-35.7779931
101,,
102,-9.5675511,-35.7258679
103,,
104,,
105,-9.6588254,-35.7654394
106,-9.6656356,-35.7446749
107,-9.6678371,-35.7554057
108,-22.8974834,-43.2827249
109,-9.7420864,-35.8977462
110,-9.7115414,-35.8956476
111,-9.7432882,-35.9015443
112,-9.7115414,-35.8956476
113,-9.6201872,-35.71675159999999
114,-9.7381833,-35.8377373
115,-9.7490981,-35.8392067
116,,
117,-9.739232,-35.841629
118,-9.7337399,-35.8393184
119,-9.7669101,-35.8541062
120,-10.2859925,-36.5679975
121,-9.732005599999999,-35.890578
122,-9.6525552,-35.722556
123,-9.6560814,-35.755792
124,,
125,-9.7619374,-35.8699103
126,-9.7668295,-35.8752492
127,-9.7127231,-35.8113984
128,-9.7586918,-35.8766445
129,,
130,,
131,,
132,-9.7115414,-35.8956476
133,,
134,-9.742637,-35.8967262
135,,
136,,
137,,
138,-8.916662299999999,-35.1928634
139,-8.916662299999999,-35.1928634
140,-9.571725299999999,-35.7784068
141,-9.5662412,-35.7870184
142,-9.668085,-35.7336926
143,,
144,-9.6541604,-35.7584621
145,,
146,-9.6541604,-35.7584621
147,-16.7412007,-49.301353
148,,
149,-10.1829382,-48.3271261
150,-26.9082782,-48.67751089999999
151,,
152,,
153,,
154,-9.7494891,-35.8766106
155,,
156,-9.5776425,-35.7894482
157,,
158,,
159,,
160,-9.9091531,-36.3617439
161,,
162,,
163,-9.6660417,-35.7352167
164,-9.7425098,-35.8949488
165,,
166,,
167,-9.7115414,-35.8956476
168,-9.7470085,-35.8771785
169,,
170,-23.6132498,-46.7301583
171,-9.8388151,-35.9076479
172,-10.1249995,-36.1761498
173,-9.837577399999999,-35.8945254
174,-9.7745302,-35.8537253
175,-9.7430153,-35.8971324
176,-23.6907586,-47.0297734
177,-3.8587887,-38.5856045
178,-8.8897351,-36.2851273
179,,
180,,
181,-10.8994251,-37.0554917
182,-9.6539102,-35.7081471
183,41.15348729999999,-8.603342999999999
184,-9.6687952,-35.7478198
185,,
186,,
187,-3.8587887,-38.5856045
188,,
189,,
190,-9.5480368,-35.7779931
191,-12.6737856,-38.5432515
192,,
193,-23.4463094,-46.698879
194,,
195,,
196,-9.760911,-35.8654999
197,,
198,-9.8306132,-35.8872095
199,-9.7167471,-35.8968193
200,-9.7456677,-35.88301939999999
201,,
202,-9.723917,-35.8160859
203,-9.712255899999999,-35.8985999
204,-9.7180862,-36.6763589
205,-9.7093324,-35.8994485
206,-9.7093324,-35.8994485
207,-9.716323299999999,-35.8926083
208,,
209,,
210,-9.750284599999999,-36.6408293
211,-9.662170699999999,-35.7126646
212,-9.6193077,-35.7201971
213,-9.660185199999999,-35.7272133
214,-9.7125048,-35.8119066
215,-9.659588,-35.7544536
216,,
217,-10.2832136,-36.5540251
218,-10.282516,-36.5528501
219,,
220,-10.2815716,-36.5539993
221,-10.2889455,-36.5839568
